id,interest
1,农业  
2,林业  
3,畜牧业  
4,渔业  
5,农、林、牧、渔专及辅助性活动  
6,煤炭开采和洗选  
7,石油和天然气开采  
8,黑色金属矿采选  
9,有色金属矿采选  
10,非金属矿采选  
11,其他采矿  
12,农副食品加工  
13,食品制造  
14,酒、饮料和精制茶制造  
15,烟草制品  
16,纺织  
17,纺织服装、服饰  
18,皮革、毛皮、羽毛及制品和制鞋  
19,木材加工和木、竹、藤、棕、草制品  
20,家具制造  
21,造纸和纸制品  
22,印刷和记录媒介复制  
23,文教、工美、体育和娱乐用品制造  
24,石油、煤炭及其他燃料加工  
25,化学原料和化学制品制造  
26,医药制造  
27,化学纤维制造  
28,橡胶和塑料制品  
29,非金属矿物制品  
30,黑色金属冶炼和压延加工  
31,有色金属冶炼和压延加工  
32,金属制品  
33,通用设备制造  
34,专用设备制造  
35,汽车制造  
36,铁路、船舶、航空航天和其他运输设备制造  
37,电气机械和器材制造  
38,计算机、通信和其他电子设备制造  
39,仪器仪表制造  
40,其他制造  
41,废弃资源综合利用  
42,电力、热力生产和供应  
43,燃气生产和供应  
44,水的生产和供应  
45,房屋建筑  
46,土木工程建筑  
47,建筑安装  
48,建筑装饰、装修和其他建筑  
49,批发  
50,零售  
51,铁路运输  
52,公路运输  
53,水上运输  
54,航空运输  
55,管道运输  
56,装卸搬运和仓储  
57,邮政  
58,住宿  
59,餐饮  
60,电信、广播电视和卫星传输服务  
61,互联网和相关服务  
62,软件和信息技术服务  
63,货币金融服务  
64,资本市场服务  
65,保险  
66,其他金融  
67,房地产开发经营  
68,业物管理  
69,不动产中介服务  
70,不动产服务  
71,租赁  
72,商务服务  
73,科学研究和技术服务  
74,水利管理  
75,环境管理  
76,公共设施管理  
77,居民服务  
78,修理和安装服务  
79,其他服务  
80,教育  
81,卫生  
82,社会工作  
83,文化艺术  
84,体育  
85,娱乐  
86,公共管理  
87,社会保障  
88,社会组织  
89,国际组织
90,机器学习
91,深度学习
92,自然语言处理
93,计算机视觉
94,数据挖掘
95,区块链
96,物联网
97,云计算
98,边缘计算
99,量子计算
100,前端开发
101,后端开发
102,移动开发
103,游戏开发
104,嵌入式开发
105,数据科学
106,算法优化
107,系统架构
108,网络安全
109,信息安全
110,UI设计
111,UX设计
112,平面设计
113,产品设计
114,交互设计
115,视觉设计
116,品牌设计
117,包装设计
118,网页设计
119,动画设计
120,市场营销
121,数字营销
122,内容营销
123,社交媒体
124,电子商务
125,项目管理
126,产品管理
127,运营管理
128,供应链管理
129,人力资源
130,财务分析
131,投资理财
132,创业创新
133,商业分析
134,战略规划
135,新媒体运营
136,短视频制作
137,直播运营
138,内容创作
139,文案策划
140,摄影摄像
141,视频剪辑
142,音频制作
143,播客制作
144,广告创意
145,在线教育
146,职业培训
147,技能培训
148,语言学习
149,学术研究
150,知识管理
151,课程设计
152,教学方法
153,学习心理学
154,教育技术
155,医疗健康
156,生物医学
157,药物研发
158,医疗器械
159,健康管理
160,心理健康
161,营养学
162,运动科学
163,康复医学
164,公共卫生
165,可再生能源
166,环境保护
167,绿色技术
168,节能减排
169,循环经济
170,智慧城市
171,可持续发展
172,环境监测
173,新能源汽车
174,储能技术
175,数字艺术
176,传统文化
177,文化创意
178,艺术创作
179,音乐制作
180,文学创作
181,戏剧表演
182,舞蹈编排
183,美术绘画
184,手工艺品
185,智能家居
186,生活美学
187,旅游规划
188,美食烹饪
189,时尚搭配
190,健身运动
191,户外探险
192,摄影旅行
193,宠物护理
194,园艺种植
